scenario,draw,npv_usd
base,0,5388268.950195931
base,1,8169327.319667695
base,2,3085513.140001014
base,3,3836666.9867706187
base,4,4545991.714008961
base,5,5341992.612515675
base,6,5551779.050680194
base,7,1690216.4284745753
base,8,6220203.125863054
base,9,7210158.457040892
base,10,8161565.328363079
base,11,4883680.26036023
base,12,4041256.941398957
base,13,10478709.212245286
base,14,4755467.889803419
base,15,5313808.758287348
base,16,7353884.768023124
base,17,11089815.022672983
base,18,7173110.298801182
base,19,8482960.808718935
base,20,3504012.063003312
base,21,9789604.93031505
base,22,5378558.468142917
base,23,10044124.251261882
base,24,2747883.4882128313
base,25,7711341.687818592
base,26,3901948.3917574137
base,27,6243816.389761027
base,28,7616000.067116025
base,29,5661758.089863215
base,30,4099061.30239298
base,31,8476423.166555459
base,32,6373781.418195493
base,33,7361987.595403835
base,34,11296077.635508943
base,35,6838560.084319207
base,36,6108703.230951356
base,37,1605287.286485277
base,38,3771137.500813597
base,39,4342878.638953129
base,40,10026386.358790858
base,41,6270024.275585744
base,42,3694226.897901794
base,43,6860238.501514027
base,44,4099260.650084626
base,45,3682112.8637353554
base,46,12341521.476597399
base,47,6300413.316395798
base,48,6194098.80362514
base,49,2012419.6381592606
base,50,7808049.849574324
base,51,3463789.849227936
base,52,4254076.749423211
base,53,13069613.71923739
base,54,8908273.47565602
base,55,6852964.085133471
base,56,11353253.297413891
base,57,2716855.843979523
base,58,5976335.850607733
base,59,4033963.489840285
base,60,8376483.68877898
base,61,1727203.144906825
base,62,4878782.724331776
base,63,6345027.206853232
base,64,6556890.571248134
base,65,4064863.411001321
base,66,9550568.26481628
base,67,8739687.843942335
base,68,1705818.3885800815
base,69,6503019.018017552
base,70,4404234.55761222
base,71,5534714.6772950515
base,72,1590335.9999192082
base,73,6747507.08092452
base,74,11329915.081955925
base,75,8947294.526915058
base,76,9815993.113227673
base,77,5008581.48544715
base,78,5332461.236995056
base,79,8619514.666194396
base,80,7870357.819074115
base,81,12038024.23178126
base,82,5345451.157253201
base,83,5415685.523123084
base,84,5731926.884374184
base,85,12322444.027240481
base,86,10915834.690353686
base,87,6845437.803073874
base,88,5488346.190067061
base,89,6831150.094686369
base,90,7855553.889403764
base,91,5416854.116278391
base,92,7943101.160338129
base,93,10178360.722238615
base,94,10168047.7371528
base,95,5860267.152020316
base,96,4918021.020973506
base,97,7983947.891520236
base,98,2278715.4364977386
base,99,1873581.0514491824
base,100,11266159.02486448
base,101,4274682.044239685
base,102,5481931.050954005
base,103,6738761.426467823
base,104,9680808.225419967
base,105,6058276.274732221
base,106,10022571.099337965
base,107,4574904.509416219
base,108,7285595.559788345
base,109,3793688.920167418
base,110,7586601.004214084
base,111,8272443.363651156
base,112,6509323.122995255
base,113,2832909.7496017003
base,114,3079832.4816197203
base,115,7094388.649438929
base,116,7136031.597252063
base,117,7931835.356324108
base,118,6462160.577446803
base,119,8036990.2149114115
base,120,4997206.464419419
base,121,9925345.652120095
base,122,6306566.228794176
base,123,3327381.24370398
base,124,7496667.7554314
base,125,5903934.752123837
base,126,6397131.789655307
base,127,3600628.681487277
base,128,8094274.611355568
base,129,4080990.1533919107
base,130,7869578.021780591
base,131,3146127.942345707
base,132,6084644.861298563
base,133,5356644.8832949875
base,134,6069837.015188258
base,135,9890504.9759504
base,136,10895552.96829259
base,137,3068864.563688184
base,138,7606249.554814219
base,139,6999816.606318471
base,140,9306071.074005624
base,141,6298106.597899583
base,142,6733002.206002236
base,143,6027972.976440635
base,144,4990944.321600022
base,145,3709834.312802504
base,146,4954810.290163821
base,147,6611480.823919218
base,148,8880178.54497588
base,149,7738753.158305803
base,150,6737821.0375033785
base,151,4527920.730467223
base,152,4881173.652870509
base,153,6146991.118763698
base,154,8047253.064778431
base,155,4738444.899234281
base,156,12817643.020088693
base,157,5215992.107749662
base,158,7236929.883978711
base,159,4228382.987979297
base,160,6501487.355450445
base,161,9669769.060581561
base,162,3285808.849618336
base,163,10260737.483696159
base,164,3991207.8391125575
base,165,8702168.51134279
base,166,1924814.4358150288
base,167,6057316.861916995
base,168,7626956.016591974
base,169,10694674.110022098
base,170,4195856.382832215
base,171,5567247.512169875
base,172,6521076.869338696
base,173,6324127.375640008
base,174,2556997.3225316326
base,175,3466941.8110599364
base,176,6798878.60101706
base,177,2044165.2407773728
base,178,7406950.284474247
base,179,6385067.368292082
base,180,4461634.1512564095
base,181,6048913.709198301
base,182,10129647.320211265
base,183,4251490.757882305
base,184,3636206.0827892614
base,185,2740122.4559274707
base,186,9393880.071654033
base,187,12571570.648299854
base,188,7938642.192324865
base,189,4998668.593920442
base,190,4148857.396201852
base,191,5280574.430950504
base,192,4915343.165248772
base,193,10762194.22536976
base,194,6912437.186167789
base,195,12857432.687330991
base,196,8078773.798905495
base,197,8147378.446551616
base,198,1340341.3527483768
base,199,8650652.331680197
base,200,6343071.951235751
base,201,5633568.187422294
base,202,4519314.531579579
base,203,2536449.6973263067
base,204,7824304.557475221
base,205,14197586.440501167
base,206,8735698.191455815
base,207,6920055.75345578
base,208,2547044.1601981684
base,209,4422531.904902276
base,210,5105435.809692845
base,211,2766679.647072211
base,212,3357499.753228584
base,213,11524396.737735169
base,214,13530352.62812344
base,215,5348396.99012233
base,216,9358167.055311736
base,217,5965183.329572178
base,218,9692203.473881805
base,219,4026924.830586308
base,220,3964685.4192856057
base,221,8005456.3016256355
base,222,5083277.743729358
base,223,9311841.319109889
base,224,10822046.453440312
base,225,5784519.9452610845
base,226,6733618.298138687
base,227,4410307.458401395
base,228,9275845.948880086
base,229,5307388.626712337
base,230,8058985.845182882
base,231,6682942.529230219
base,232,4927401.354631231
base,233,7184303.430204621
base,234,12990394.511390846
base,235,9224862.955390183
base,236,4865567.096134485
base,237,6555503.755430419
base,238,4269687.029963804
base,239,5189644.848127773
base,240,8739072.069491182
base,241,4177958.2626656033
base,242,10162036.36518781
base,243,3301246.9620559076
base,244,3596151.2347962894
base,245,7591736.055787013
base,246,8219340.257111771
base,247,4267712.100344412
base,248,3670686.406554636
base,249,1535693.556862298
base,250,3588585.651181295
base,251,5598192.622376352
base,252,6624690.537465317
base,253,5400242.446941184
base,254,3594653.306170413
base,255,5050395.990666246
base,256,9316013.38086194
base,257,6155611.66766595
base,258,3087749.2171051893
base,259,9746460.330042249
base,260,3448715.8577864883
base,261,11213089.7712659
base,262,4152543.7860810645
base,263,11521431.932394015
base,264,6713937.3405913655
base,265,4409494.954104755
base,266,4528416.13129961
base,267,8321792.710635916
base,268,6234414.631406448
base,269,7598311.215495999
base,270,4083494.127693641
base,271,4325567.639390939
base,272,3522525.7857964723
base,273,9147171.356400644
base,274,7150353.923118025
base,275,5925852.183558925
base,276,15235080.90422648
base,277,12525089.643538615
base,278,5796972.44654537
base,279,10872717.293696908
base,280,13002324.517030338
base,281,4255671.389375993
base,282,7587230.722612409
base,283,5278413.7233036
base,284,7306955.263236156
base,285,5658503.119743343
base,286,6033059.9879153455
base,287,4747935.531670043
base,288,5437418.723049368
base,289,8633961.183128498
base,290,9313816.116493672
base,291,3599940.0510416734
base,292,5328251.460093381
base,293,7184938.201649917
base,294,6512977.923825666
base,295,5496240.604724887
base,296,2681179.047308691
base,297,3522625.26842416
base,298,2441344.5898142485
base,299,2764765.690107301
base,300,9175924.879645832
base,301,5426264.814799754
base,302,12229867.003229974
base,303,6401177.124217052
base,304,4986070.011915421
base,305,9658274.341600306
base,306,4192053.4848713237
base,307,12424159.4320237
base,308,7762391.329642601
base,309,10091496.667824747
base,310,5220640.525445702
base,311,11223665.035070805
base,312,6897437.88048868
base,313,5824383.364054767
base,314,6416694.09268942
base,315,3670267.4744145563
base,316,8059194.255610585
base,317,3733986.1193045257
base,318,3970596.597063454
base,319,8862732.652933931
base,320,3960537.9949183576
base,321,7987956.209759278
base,322,8778371.171346795
base,323,1733705.2396754245
base,324,7434306.084409609
base,325,5528210.256052002
base,326,7342919.205064211
base,327,2058053.9786120178
base,328,13581550.52854504
base,329,6059218.741096
base,330,3087007.8424952426
base,331,5713670.171658942
base,332,4815487.148314928
base,333,11838646.302736428
base,334,6319596.801099481
base,335,8355005.460857291
base,336,3732260.789051406
base,337,6462271.141631143
base,338,6132892.212857252
base,339,5411040.340229013
base,340,7859873.051088936
base,341,4953606.283709464
base,342,8088394.367389713
base,343,6984150.509693778
base,344,7852835.346958289
base,345,5599513.731818439
base,346,5135619.429391397
base,347,6587404.953405168
base,348,7422965.4407880455
base,349,7221061.559153276
base,350,10607635.775593162
base,351,7123364.330230106
base,352,7522088.425381109
base,353,11319909.775817193
base,354,3646644.9230969
base,355,4665134.717757942
base,356,4457742.127109934
base,357,9009862.031341191
base,358,5266301.0843338575
base,359,7519829.376477003
base,360,6904180.796627841
base,361,5031314.087953152
base,362,2655760.1796258306
base,363,7093411.571917186
base,364,4427631.998553251
base,365,7486532.396004429
base,366,2642822.885617174
base,367,1930833.3831541878
base,368,10482246.791880574
base,369,8159864.270541334
base,370,6420996.45311506
base,371,6110670.986364971
base,372,12167772.880644921
base,373,2740297.25557239
base,374,2323647.886721005
base,375,8368515.76739532
base,376,4030394.3480676212
base,377,8127423.595604953
base,378,5364543.573318893
base,379,7263623.712196423
base,380,2355352.013699758
base,381,7466179.932778709
base,382,6008181.646107953
base,383,5051212.84194534
base,384,5853677.936612875
base,385,14763107.955959355
base,386,3025122.0108299693
base,387,12039317.549458493
base,388,7505271.209413907
base,389,7130596.59462874
base,390,5524692.863035499
base,391,3481042.3674870664
base,392,10056878.521368206
base,393,6654106.106770354
base,394,5239267.640588208
base,395,8424262.466464821
base,396,6682214.582757209
base,397,7201769.548032548
base,398,3718896.727568106
base,399,6666972.954639369
base,400,6466561.5437879255
base,401,4485801.6158916
base,402,11828047.20260133
base,403,6789240.934724146
base,404,611763.6950508378
base,405,6064019.540624666
base,406,3787779.05572311
base,407,2899750.175244565
base,408,6228815.667232389
base,409,4178319.27233869
base,410,5868408.610795654
base,411,6743071.291498781
base,412,8865957.79037035
base,413,10176911.849897312
base,414,3712120.3907799246
base,415,7928819.907640494
base,416,4479106.9219303895
base,417,5869283.296861697
base,418,4677089.411552852
base,419,3508113.839234624
base,420,5852601.452936177
base,421,3264798.433207898
base,422,7228451.405291341
base,423,5825825.326364717
base,424,4362084.963390247
base,425,5663765.212602998
base,426,7154920.017078809
base,427,4015170.6898324373
base,428,2414211.7825611476
base,429,10407359.55779814
base,430,5960212.407803398
base,431,9563408.68065118
base,432,6967831.443923791
base,433,4994758.635072283
base,434,5133013.744787348
base,435,4185519.6288319156
base,436,3872115.867073584
base,437,6113759.261670705
base,438,10583214.255301174
base,439,5845500.895775507
base,440,10504570.276774885
base,441,8802155.15007722
base,442,2872932.141719706
base,443,9362953.31260149
base,444,3273466.579857683
base,445,8238985.297008494
base,446,3780644.9883537116
base,447,4025635.4845161038
base,448,9977126.311265867
base,449,2317466.0451666308
base,450,3304786.900656894
base,451,6910935.065377317
base,452,9626039.917941084
base,453,5646997.901516523
base,454,4520547.643901873
base,455,4392230.248571691
base,456,11575030.628196517
base,457,5728416.699396468
base,458,9407883.918358928
base,459,4531251.153123995
base,460,7491749.641161646
base,461,7077947.44725378
base,462,8821205.509489616
base,463,8043675.888509296
base,464,8513232.259726215
base,465,2753252.28127481
base,466,4733561.819205705
base,467,1451577.8955058428
base,468,4061382.5284935106
base,469,6792168.085481961
base,470,4571238.25530257
base,471,6783078.606983206
base,472,5204905.52444094
base,473,7852366.952981144
base,474,12461799.779614132
base,475,9380666.107306143
base,476,6380632.312637103
base,477,5258754.640623764
base,478,5900106.637696872
base,479,7696844.515921414
base,480,9066374.637853988
base,481,6630352.174024974
base,482,3486178.1540642455
base,483,7727341.598682385
base,484,6715994.1435015965
base,485,5714465.352047319
base,486,9380783.64719315
base,487,5833340.681885337
base,488,5384189.826036428
base,489,6025552.804965409
base,490,6144741.644613083
base,491,3859829.7983310595
base,492,3366750.6487521706
base,493,7897104.6315817535
base,494,2018650.7385437004
base,495,2900393.03165126
base,496,8096005.816931262
base,497,7165688.289525924
base,498,12447030.875940217
base,499,7128685.330219655
base,500,5363717.586456235
base,501,4084575.811632725
base,502,2558352.180046606
base,503,9100589.189783122
base,504,3804208.7317760126
base,505,2558803.696723028
base,506,4658705.727874465
base,507,2935538.009814883
base,508,3673823.037799157
base,509,3128538.8328420287
base,510,2987210.776734452
base,511,7075108.4894945435
base,512,3039048.944865405
base,513,8783509.603366364
base,514,7120518.3613000875
base,515,8870204.072697045
base,516,3764227.9603629736
base,517,9671858.467887297
base,518,6511352.960999092
base,519,4472442.12774138
base,520,6740227.321696711
base,521,5924584.101452297
base,522,3832632.649795807
base,523,2961225.293716229
base,524,5008523.967404134
base,525,5527027.075335582
base,526,10595378.47311726
base,527,7377013.281355296
base,528,2337656.1211467613
base,529,6119004.951083122
base,530,5336516.114284693
base,531,11213201.969529197
base,532,7930440.472408287
base,533,5603966.121658781
base,534,4283268.597670598
base,535,3659569.563862607
base,536,2982456.8930265186
base,537,3329795.624574501
base,538,6504200.084675865
base,539,2534307.190533167
base,540,6496352.533346593
base,541,3593325.152753257
base,542,12095470.44622379
base,543,2912454.6936856667
base,544,2692960.6011302467
base,545,8421099.047899965
base,546,9821069.637042476
base,547,7969418.876472432
base,548,6766898.781482921
base,549,2949874.3380638305
base,550,2978216.4128334587
base,551,7281784.223501596
base,552,7369629.13495568
base,553,5683264.653116824
base,554,8738742.623984769
base,555,4194741.6842481885
base,556,4219547.944352378
base,557,7121098.527584824
base,558,4877338.354148442
base,559,8940854.039795859
base,560,4699210.5865497235
base,561,9712681.905813882
base,562,5613184.188056475
base,563,4924387.700578992
base,564,6451788.332903105
base,565,3263959.3504504794
base,566,6979902.649741137
base,567,3016588.9183986792
base,568,6415472.160368012
base,569,1239838.6459502527
base,570,9368981.96148548
base,571,4382256.945013573
base,572,7776410.111346578
base,573,6983779.379194376
base,574,8282498.649641497
base,575,4769118.14320408
base,576,2584747.2922006217
base,577,7791629.581431556
base,578,1357682.4727342625
base,579,3939123.8292343784
base,580,3206280.358254105
base,581,7047648.266957248
base,582,9061783.227244593
base,583,7531214.396546208
base,584,8767070.560881495
base,585,8288641.505371555
base,586,6769489.625058857
base,587,9333583.469057623
base,588,5418986.340518533
base,589,2867123.1064088275
base,590,3477491.2003071066
base,591,8195613.521816755
base,592,6828520.467652611
base,593,7025963.967454302
base,594,6263737.424655225
base,595,4195311.117749078
base,596,7598986.392492649
base,597,4807497.621968204
base,598,9165627.707960635
base,599,11106997.512100754
base,600,7936979.152885979
base,601,6051902.456168095
base,602,4644573.336410033
base,603,3033256.75312125
base,604,6860544.33035242
base,605,8592973.594930843
base,606,4361707.539463477
base,607,2604242.674597689
base,608,12195230.917056676
base,609,4447838.455938356
base,610,3353495.096246809
base,611,4389007.085189836
base,612,8753110.242552567
base,613,7012902.43107207
base,614,5382511.798548612
base,615,14791150.339642283
base,616,5341087.988866147
base,617,5407052.217963196
base,618,4962134.174386321
base,619,4195087.096141199
base,620,3046119.5542419353
base,621,10194771.426400546
base,622,3117641.32152152
base,623,4715634.658120478
base,624,1370694.3185277819
