scenario,draw,npv_usd
base,0,10051090.770400116
base,1,12322276.650696328
base,2,12788789.71295458
base,3,17833913.759975504
base,4,13290436.909842633
base,5,8211463.663200797
base,6,12153483.450828377
base,7,11765313.899000704
base,8,11217916.650742488
base,9,15913678.690644486
base,10,15853054.866536591
base,11,14891912.740602756
base,12,13670127.313293353
base,13,11069037.321197858
base,14,9517332.401359368
base,15,6509319.737842395
base,16,8172726.567328634
base,17,9928126.907696197
base,18,12219821.149618158
base,19,14404458.768836014
base,20,15495570.603169957
base,21,16983424.53544988
base,22,17709542.83019695
base,23,11264654.38653839
base,24,12832776.677459572
base,25,13742159.930378588
base,26,10703817.436057072
base,27,9918455.53876314
base,28,7643173.301106054
base,29,12167780.689442135
base,30,11344553.936579298
base,31,7835131.568899541
base,32,19234028.894314364
base,33,9067697.498093555
base,34,11677510.375461062
base,35,19228344.926619492
base,36,12167664.388748085
base,37,9501246.748375028
base,38,9467770.856343048
base,39,11466443.827871662
base,40,18269045.044937793
base,41,10662217.446358051
base,42,12216988.55493538
base,43,9941551.35401006
base,44,12800140.781410802
base,45,11839431.85633571
base,46,12271490.119418234
base,47,9013317.067473773
base,48,9076083.265397366
base,49,11678002.490514182
base,50,11318769.529918572
base,51,11776054.481482044
base,52,11342962.43798609
base,53,15980125.960807731
base,54,10937618.779823046
base,55,11502546.479336016
base,56,11915401.230956234
base,57,16524974.869482163
base,58,7479154.130808864
base,59,20575565.97723955
base,60,17880793.603801258
base,61,12790182.076535812
base,62,17310439.05859066
base,63,10728111.140551709
base,64,10992417.267811881
base,65,11453280.04185602
base,66,10792646.270479698
base,67,14050839.80334212
base,68,10982329.532848636
base,69,12242966.906035777
base,70,11464159.342896665
base,71,12130480.716628145
base,72,16450571.047129437
base,73,14308346.268910093
base,74,17306013.894033503
base,75,7710926.939992882
base,76,12869465.905704115
base,77,17318523.725287296
base,78,9785649.492630292
base,79,16313020.906024018
base,80,9842305.912087923
base,81,16431758.052265227
base,82,14137034.43296451
base,83,15083328.277043212
base,84,10627296.6684782
base,85,10367896.142484711
base,86,13185019.174642375
base,87,17126849.413689915
base,88,12074919.290497344
base,89,12483328.859773261
base,90,8329816.566461591
base,91,8989253.895855062
base,92,12715557.453274313
base,93,6657986.91580406
base,94,11621259.852484882
base,95,15481759.461209277
base,96,11079689.027862845
base,97,21460874.51329244
base,98,21474065.236425586
base,99,9395075.383539254
base,100,12076526.711616654
base,101,15788838.573613383
base,102,15068459.975636391
base,103,20238642.229666717
base,104,11650607.315349948
base,105,17811344.974077567
base,106,16007443.726247149
base,107,14679526.639689695
base,108,10007321.337911066
base,109,16212697.583484542
base,110,12573405.097699791
base,111,12301851.64821659
base,112,12383806.441716265
base,113,10490119.513355976
base,114,13246392.649956815
base,115,9893343.289514452
base,116,14674407.062416304
base,117,10965068.435426842
base,118,15035753.13428741
base,119,10810462.082569249
base,120,12612846.571788916
base,121,13629516.112350546
base,122,8657872.950533647
base,123,18404270.33964175
base,124,9693144.528310003
base,125,11889525.529679712
base,126,14789719.097441833
base,127,17287105.1888874
base,128,19366202.17130058
base,129,6698157.101494953
base,130,13779139.894029679
base,131,10045190.862190032
base,132,6537848.6763939485
base,133,12627948.046217987
base,134,15499883.961248193
base,135,10848534.34451173
base,136,13621354.895979138
base,137,12164616.129856894
base,138,11345195.367246443
base,139,11699364.925221037
base,140,12272279.750382874
base,141,6243579.569768378
base,142,13712300.812363071
base,143,9228716.447384134
base,144,14667609.338814005
base,145,14688048.353587145
base,146,13089223.144326052
base,147,8644454.508380763
base,148,18016332.90052664
base,149,13899222.32525465
base,150,15583020.075340506
base,151,11137673.268426692
base,152,8450233.568857221
base,153,8720544.426393358
base,154,16352277.216295803
base,155,15364300.113177741
base,156,14125255.418772768
base,157,13461513.123335278
base,158,18915972.02186332
base,159,10982598.963916767
base,160,13889945.923203308
base,161,12909033.08614727
base,162,6983923.992188872
base,163,12203836.03352503
base,164,14429030.676068746
base,165,14941465.550164726
base,166,18333583.33817887
base,167,15050817.23242321
base,168,12251003.91712713
base,169,13464531.877755849
base,170,12640139.037297316
base,171,10420323.51536119
base,172,11003218.581587737
base,173,10801189.13108691
base,174,20630825.9639684
base,175,16102840.128613397
base,176,11683263.191486647
base,177,10404609.633810703
base,178,17483156.400149483
base,179,12629245.618862323
base,180,17419314.639294688
base,181,8568591.128331363
base,182,12129365.758641636
base,183,12748931.973209947
base,184,12511105.604766997
base,185,6225959.914422451
base,186,11043537.471307484
base,187,11072705.405349536
base,188,8758428.532412224
base,189,11737938.757576387
base,190,10063570.24103735
base,191,11839447.719335672
base,192,9438114.649974238
base,193,14151762.377702624
base,194,9827705.536633058
base,195,5074245.79832844
base,196,9028144.596486747
base,197,8754900.457074488
base,198,13324102.017885406
base,199,13316244.19145284
base,200,11403985.77867535
base,201,12739432.338568058
base,202,8939808.971832488
base,203,14869024.270182656
base,204,13133182.435311127
base,205,13104825.226942677
base,206,12299284.050409168
base,207,14895780.239739679
base,208,16185277.487558855
base,209,15001997.260356484
base,210,16809019.55055219
base,211,15712295.690338243
base,212,12747907.541210327
base,213,11967830.52597563
base,214,14625134.790855965
base,215,16094358.642667307
base,216,9824327.535071032
base,217,13354675.477581054
base,218,9043786.828767898
base,219,17330213.504755326
base,220,16502801.375634305
base,221,10688616.344819319
base,222,13813410.520237684
base,223,12227087.956839405
base,224,13553141.617899513
base,225,11455365.805434462
base,226,14283324.685841065
base,227,11790852.22967275
base,228,14653641.59449298
base,229,18062786.773356013
base,230,15998856.327421784
base,231,12336312.996868083
base,232,11743771.095458196
base,233,8835805.021798782
base,234,11852703.66133186
base,235,6016288.641036779
base,236,10624381.296868447
base,237,14680719.63366115
base,238,11808976.663162416
base,239,8734002.131988317
base,240,15234229.2224703
base,241,8966640.339148402
base,242,11760083.232311757
base,243,17401159.146785866
base,244,15836492.762263976
base,245,12067081.007810978
base,246,14272697.466838865
base,247,10429901.757185414
base,248,10000299.830064017
base,249,15415566.55640737
base,250,11736250.122853098
base,251,15782878.559452653
base,252,21920958.352714434
base,253,9731715.159237543
base,254,15969983.94017806
base,255,6606250.711737601
base,256,10456734.267316718
base,257,14424737.687685497
base,258,10558873.121336827
base,259,9776679.865275301
base,260,14889078.709905192
base,261,8898532.332280958
base,262,7187749.40427292
base,263,10574426.222322416
base,264,11249939.460183717
base,265,11309560.94172388
base,266,13850902.803727081
base,267,12034239.06222542
base,268,11690580.477718655
base,269,7585526.376573613
base,270,15977775.548687024
base,271,8990595.699018948
base,272,8847072.829561185
base,273,11790883.829686347
base,274,17279877.07169562
base,275,11005628.45925133
base,276,8934232.732155122
base,277,9463613.849594427
base,278,12450567.437717484
base,279,13270596.776043022
base,280,8261835.536424294
base,281,14589117.945623161
base,282,14959837.299741175
base,283,19069458.184743058
base,284,11026267.356973343
base,285,14421945.811022788
base,286,14810122.442599067
base,287,17722163.550392415
base,288,15596636.73835706
base,289,14048629.88583395
base,290,10270638.368760258
base,291,14566232.720673122
base,292,10373947.891737692
base,293,12544331.99732359
base,294,16365356.387162697
base,295,14846714.020611156
base,296,10053321.036921352
base,297,16098724.217946481
base,298,6476035.21346556
base,299,17206704.61239907
base,300,8987914.615040746
base,301,10223035.458632704
base,302,18922789.686297987
base,303,16384327.13450689
base,304,13681693.286435224
base,305,9066797.431277322
base,306,16613679.590842143
base,307,7915357.120674786
base,308,9539291.802394383
base,309,14154656.602309499
base,310,11632111.879394198
base,311,7279993.130879864
base,312,15345250.45627411
base,313,10764055.69853316
base,314,15473694.82036674
base,315,15724111.302056238
base,316,11834768.82611319
base,317,17122925.056610078
base,318,15376356.184289556
base,319,10263722.729639228
base,320,19627838.73179404
base,321,12112434.12356138
base,322,10120095.25385065
base,323,9320389.82595393
base,324,12270050.766896866
base,325,10312116.239752654
base,326,14460896.926488778
base,327,10446240.434381176
base,328,9783016.805777581
base,329,14263496.736261282
base,330,12965754.752549782
base,331,8992909.595061857
base,332,9728891.225970168
base,333,16762647.36275961
base,334,16545726.822562404
base,335,15191005.84961136
base,336,14113655.52560506
base,337,16568554.090565061
base,338,12774101.158311859
base,339,20868361.210726902
base,340,6676764.224541336
base,341,9239221.150175855
base,342,10057159.308903303
base,343,10844728.135146905
base,344,7992778.067713876
base,345,7541926.801148277
base,346,12140979.041773506
base,347,16819570.854631856
base,348,14877861.865175584
base,349,9079298.225102067
base,350,9949645.664878692
base,351,15552179.727780685
base,352,16739641.517103503
base,353,14771929.564687543
base,354,15959090.899099186
base,355,15153895.011248596
base,356,16177418.54304767
base,357,12608569.822013216
base,358,11942672.935903087
base,359,15641843.342084771
base,360,11665630.061700646
base,361,8350458.034605925
base,362,13671229.481659073
base,363,14470283.067818362
base,364,7441534.823300686
base,365,15725262.388477089
base,366,11273912.048539132
base,367,13403582.132219058
base,368,11891260.73627132
base,369,14192700.963307021
base,370,7524221.8815329
base,371,18269418.68102987
base,372,13458125.761942385
base,373,16068323.334375765
base,374,10399801.05205342
base,375,11403923.443683296
base,376,18356165.71540754
base,377,14992723.16862585
base,378,9074157.259425422
base,379,9772705.905477798
base,380,12714742.975183953
base,381,14158826.029254254
base,382,11478407.454006808
base,383,18873009.84893331
base,384,10841059.083265543
base,385,14491794.216446685
base,386,21400646.462252785
base,387,9558379.51448452
base,388,14687864.985197121
base,389,9494186.15938076
base,390,11023875.062247034
base,391,11319247.250352155
base,392,16575736.875581931
base,393,8890819.543724386
base,394,15299913.734355321
base,395,11123615.513913263
base,396,17551646.54504264
base,397,12632746.43916702
base,398,9052741.502225306
base,399,11580744.048542965
base,400,13172079.052625531
base,401,8370015.575880802
base,402,14297531.423459658
base,403,15561458.232769338
base,404,12518370.485663516
base,405,14949051.971268617
base,406,6847414.301841907
base,407,12941875.27445879
base,408,12154088.750009004
base,409,11283529.525225008
base,410,7094110.390226816
base,411,21278127.450248905
base,412,15172013.814372106
base,413,11725946.56022806
base,414,16635552.77121011
base,415,12264340.350100914
base,416,18305825.584501337
base,417,9855262.760577116
base,418,11967820.915689899
base,419,14639990.239841036
base,420,7349252.603529016
base,421,13786465.66565908
