scenario,draw,npv_usd
base,0,9990519.805768812
base,1,12139813.418230148
base,2,11809595.537775844
base,3,23759830.95662808
base,4,24902535.679534305
base,5,28139738.720873777
base,6,14285975.985634305
base,7,15237422.28972016
base,8,19385138.929142572
base,9,25576173.043088935
base,10,24814461.061958864
base,11,18594313.748917934
base,12,14420345.659672085
base,13,13891002.441793809
base,14,12462876.19330456
base,15,17711618.935392246
base,16,22091323.83661675
base,17,11596209.121543892
base,18,24469600.056858484
base,19,17822150.21172956
base,20,14976495.982779631
base,21,11660007.017265037
base,22,14595120.062331013
base,23,29076312.7980988
base,24,18450620.8944441
base,25,18283835.573482793
base,26,11488034.50695728
base,27,32417347.582130227
base,28,14756475.012572743
base,29,19416560.430769287
base,30,14208760.857572284
base,31,19438844.737305425
base,32,12150199.936206479
base,33,29176105.11146469
base,34,17781326.614394516
base,35,18120649.77881315
base,36,18448951.343035582
base,37,20709542.72684099
base,38,17156168.6139493
base,39,13511865.233611967
base,40,25575687.753750663
base,41,16085739.893733881
base,42,19021532.51632344
base,43,10480068.787980447
base,44,10768244.864017092
base,45,12890790.239922155
base,46,14932986.08980568
base,47,20088620.98785431
base,48,13271827.936207507
base,49,13718574.029734477
base,50,18146375.329332832
base,51,18056708.938800223
base,52,21785244.425708365
base,53,19384365.234352514
base,54,26834623.005267195
base,55,22999349.508642267
base,56,13863119.812643545
base,57,13681589.950055277
base,58,17508358.399812248
base,59,22315592.423274584
base,60,17673046.843239266
base,61,28318954.956730608
base,62,12081976.245467808
base,63,22954114.63718715
base,64,13732738.084403355
base,65,14258069.658768628
base,66,18445379.102496468
base,67,17193625.83354459
base,68,28364904.346069433
base,69,15782553.371921344
base,70,22818715.326489255
base,71,22732725.616906043
base,72,30776712.465450868
base,73,25789527.146783654
base,74,22186331.34238442
base,75,17899675.93475427
base,76,15247188.149857681
base,77,19829873.54276398
base,78,29893587.459298663
base,79,23840454.127730336
base,80,7999371.900186501
base,81,18122968.268603384
base,82,18540740.08022072
base,83,14247259.064574178
base,84,20420758.008270945
base,85,8611582.695246346
base,86,22432059.060334105
base,87,18077735.854146678
